clf,dataset_name,dataset_type,auc,n_estimators
RSIF,21_Lymphography,numerical,0.9884,1
RSIF,21_Lymphography,numerical,0.8953,1
RSIF,21_Lymphography,numerical,0.8721,1
RSIF,21_Lymphography,numerical,1.0,1
RSIF,21_Lymphography,numerical,0.8721,1
RSIF,21_Lymphography,numerical,1.0,1
RSIF,21_Lymphography,numerical,0.8953,1
RSIF,21_Lymphography,numerical,0.5988,1
RSIF,21_Lymphography,numerical,0.9302,1
RSIF,21_Lymphography,numerical,0.9767,1
RSIF,21_Lymphography,numerical,1.0,5
RSIF,21_Lymphography,numerical,1.0,5
RSIF,21_Lymphography,numerical,0.936,5
RSIF,21_Lymphography,numerical,1.0,5
RSIF,21_Lymphography,numerical,1.0,5
RSIF,21_Lymphography,numerical,1.0,5
RSIF,21_Lymphography,numerical,1.0,5
RSIF,21_Lymphography,numerical,0.9651,5
RSIF,21_Lymphography,numerical,1.0,5
RSIF,21_Lymphography,numerical,1.0,5
RSIF,21_Lymphography,numerical,1.0,10
RSIF,21_Lymphography,numerical,0.9884,10
RSIF,21_Lymphography,numerical,1.0,10
RSIF,21_Lymphography,numerical,0.9884,10
RSIF,21_Lymphography,numerical,1.0,10
RSIF,21_Lymphography,numerical,1.0,10
RSIF,21_Lymphography,numerical,1.0,10
RSIF,21_Lymphography,numerical,0.9884,10
RSIF,21_Lymphography,numerical,0.9767,10
RSIF,21_Lymphography,numerical,1.0,10
RSIF,21_Lymphography,numerical,1.0,25
RSIF,21_Lymphography,numerical,0.9884,25
RSIF,21_Lymphography,numerical,1.0,25
RSIF,21_Lymphography,numerical,1.0,25
RSIF,21_Lymphography,numerical,1.0,25
RSIF,21_Lymphography,numerical,1.0,25
RSIF,21_Lymphography,numerical,1.0,25
RSIF,21_Lymphography,numerical,1.0,25
RSIF,21_Lymphography,numerical,0.9767,25
RSIF,21_Lymphography,numerical,0.9884,25
RSIF,21_Lymphography,numerical,1.0,50
RSIF,21_Lymphography,numerical,0.9884,50
RSIF,21_Lymphography,numerical,1.0,50
RSIF,21_Lymphography,numerical,1.0,50
RSIF,21_Lymphography,numerical,1.0,50
RSIF,21_Lymphography,numerical,1.0,50
RSIF,21_Lymphography,numerical,1.0,50
RSIF,21_Lymphography,numerical,1.0,50
RSIF,21_Lymphography,numerical,0.9767,50
RSIF,21_Lymphography,numerical,1.0,50
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,100
RSIF,21_Lymphography,numerical,1.0,200
RSIF,21_Lymphography,numerical,1.0,200
RSIF,21_Lymphography,numerical,1.0,200
RSIF,21_Lymphography,numerical,1.0,200
RSIF,21_Lymphography,numerical,1.0,200
RSIF,21_Lymphography,numerical,1.0,200
RSIF,21_Lymphography,numerical,1.0,200
RSIF,21_Lymphography,numerical,1.0,200
RSIF,21_Lymphography,numerical,0.9884,200
RSIF,21_Lymphography,numerical,0.9884,200
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,21_Lymphography,numerical,1.0,300
RSIF,36_speech,numerical,0.5186,1
RSIF,36_speech,numerical,0.4571,1
RSIF,36_speech,numerical,0.4178,1
RSIF,36_speech,numerical,0.5942,1
RSIF,36_speech,numerical,0.4042,1
RSIF,36_speech,numerical,0.4615,1
RSIF,36_speech,numerical,0.4216,1
RSIF,36_speech,numerical,0.5339,1
RSIF,36_speech,numerical,0.4953,1
RSIF,36_speech,numerical,0.5035,1
RSIF,36_speech,numerical,0.5064,5
RSIF,36_speech,numerical,0.4297,5
RSIF,36_speech,numerical,0.4049,5
RSIF,36_speech,numerical,0.5219,5
RSIF,36_speech,numerical,0.3469,5
RSIF,36_speech,numerical,0.3444,5
RSIF,36_speech,numerical,0.4133,5
RSIF,36_speech,numerical,0.4834,5
RSIF,36_speech,numerical,0.4875,5
RSIF,36_speech,numerical,0.4414,5
RSIF,36_speech,numerical,0.4716,10
RSIF,36_speech,numerical,0.5357,10
RSIF,36_speech,numerical,0.4585,10
RSIF,36_speech,numerical,0.4508,10
RSIF,36_speech,numerical,0.34,10
RSIF,36_speech,numerical,0.4537,10
RSIF,36_speech,numerical,0.4381,10
