clf,dataset_name,dataset_type,auc,obj_ratio
RISF,p53,graph,0.4246,0.1
RISF,p53,graph,0.475,0.1
RISF,p53,graph,0.5253,0.1
RISF,p53,graph,0.4709,0.25
RISF,p53,graph,0.4823,0.25
RISF,p53,graph,0.4941,0.25
RISF,p53,graph,0.4422,0.5
RISF,p53,graph,0.5138,0.5
RISF,p53,graph,0.4542,0.5
RISF,p53,graph,0.4425,0.75
RISF,p53,graph,0.4771,0.75
RISF,p53,graph,0.5009,0.75
RISF,p53,graph,0.4428,1.0
RISF,p53,graph,0.4739,1.0
RISF,p53,graph,0.4809,1.0
RISF,21_Lymphography,numerical,0.6744,0.1
RISF,21_Lymphography,numerical,0.9651,0.1
RISF,21_Lymphography,numerical,1.0,0.1
RISF,21_Lymphography,numerical,1.0,0.25
RISF,21_Lymphography,numerical,0.9767,0.25
RISF,21_Lymphography,numerical,1.0,0.25
RISF,21_Lymphography,numerical,1.0,0.5
RISF,21_Lymphography,numerical,0.9535,0.5
RISF,21_Lymphography,numerical,0.9651,0.5
RISF,21_Lymphography,numerical,1.0,0.75
RISF,21_Lymphography,numerical,0.9767,0.75
RISF,21_Lymphography,numerical,0.9884,0.75
RISF,21_Lymphography,numerical,1.0,1.0
RISF,21_Lymphography,numerical,0.9767,1.0
RISF,21_Lymphography,numerical,0.9767,1.0
RISF,36_speech,numerical,0.4249,0.1
RISF,36_speech,numerical,0.5473,0.1
RISF,36_speech,numerical,0.4265,0.1
RISF,36_speech,numerical,0.4567,0.25
RISF,36_speech,numerical,0.5632,0.25
RISF,36_speech,numerical,0.3108,0.25
RISF,36_speech,numerical,0.4248,0.5
RISF,36_speech,numerical,0.591,0.5
RISF,36_speech,numerical,0.3767,0.5
RISF,36_speech,numerical,0.4575,0.75
RISF,36_speech,numerical,0.4904,0.75
RISF,36_speech,numerical,0.3585,0.75
RISF,36_speech,numerical,0.4676,1.0
RISF,36_speech,numerical,0.5445,1.0
RISF,36_speech,numerical,0.389,1.0
RISF,6_cardio,numerical,0.9512,0.1
RISF,6_cardio,numerical,0.9341,0.1
RISF,6_cardio,numerical,0.9298,0.1
RISF,6_cardio,numerical,0.9534,0.25
RISF,6_cardio,numerical,0.931,0.25
RISF,6_cardio,numerical,0.9344,0.25
RISF,6_cardio,numerical,0.9546,0.5
RISF,6_cardio,numerical,0.9408,0.5
RISF,6_cardio,numerical,0.9202,0.5
RISF,6_cardio,numerical,0.9416,0.75
RISF,6_cardio,numerical,0.9352,0.75
RISF,6_cardio,numerical,0.9403,0.75
